Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1784853965,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1784853966,10,,Aggregated,0.000000,0.000000,65,65,65,65,65,65,65,65,65,65,65,6,0,54,42.86263898635904,3.8335840217769146,65.49695797730237,45.0
1784853967,20,,Aggregated,0.000000,0.000000,54,65,65,65,65,65,65,65,65,65,65,7,0,54,39.23639884617712,3.8335840217769146,65.49695797730237,45.0
1784853968,30,,Aggregated,0.000000,0.000000,54,65,65,65,170,200,200,200,200,200,200,11,0,54,60.89203789914873,3.6434580106288195,195.5821249866858,45.0
1784853969,40,,Aggregated,3.500000,0.000000,22,65,65,65,200,380,380,380,380,380,380,17,0,22,65.07767158259145,3.6434580106288195,381.547832977958,45.0
1784853970,50,,Aggregated,3.666667,0.000000,22,65,65,170,380,950,970,970,970,970,970,21,0,22,145.2104464295276,3.6434580106288195,966.0996670136228,44.904761904761905
1784853971,50,,Aggregated,4.000000,0.000000,1000,2900,4100,4300,4800,5000,5100,5400,5400,5400,5400,74,0,1000,1843.055203325757,2.4051250657066703,5384.991500061005,44.45945945945946
1784853972,50,,Aggregated,3.800000,0.000000,920,1100,2900,4100,4900,5400,6500,6600,6600,6600,6600,125,0,920,1668.0059739975259,2.3471659515053034,6605.695958947763,44.384
1784853973,50,,Aggregated,8.333333,0.000000,890,950,1000,2600,4600,5000,6500,6600,6600,6600,6600,183,0,890,1328.3120869999864,2.3471659515053034,6605.695958947763,44.37158469945355
1784853974,50,,Aggregated,15.000000,0.000000,870,930,960,1000,4100,4900,6500,6500,6600,6600,6600,230,0,870,1198.0284137848723,2.3471659515053034,6605.695958947763,44.33913043478261
1784853975,50,,Aggregated,20.125000,0.000000,880,930,950,980,3600,4800,6400,6500,6600,6600,6600,284,0,880,1097.5338987867565,2.3337079910561442,6605.695958947763,44.32746478873239
1784853976,50,,Aggregated,23.444444,0.000000,890,930,960,980,2800,4700,5400,6500,6600,6600,6600,335,0,890,1029.7463057326404,2.3337079910561442,6605.695958947763,44.32537313432836
1784853977,50,,Aggregated,26.500000,0.000000,890,940,980,1000,2500,4400,5100,6500,6600,6600,6600,389,0,890,976.5758588290618,2.3265419295057654,6605.695958947763,44.329048843187664
1784853978,50,,Aggregated,30.800000,0.000000,890,940,960,990,1100,4100,5000,6500,6600,6600,6600,459,0,890,904.8405067253582,1.974457991309464,6605.695958947763,44.348583877995644
1784853979,50,,Aggregated,36.000000,0.000000,870,920,950,980,1100,3900,5000,6400,6600,6600,6600,519,0,870,855.0978960401625,1.974457991309464,6605.695958947763,44.35260115606936
1784853980,50,,Aggregated,41.900000,0.000000,850,910,940,960,1000,3600,4900,6400,6600,6600,6600,579,0,850,823.573462809042,1.974457991309464,6605.695958947763,44.350604490500864
1784853981,50,,Aggregated,47.700000,0.000000,820,900,940,950,1000,2900,4900,5400,6600,6600,6600,644,0,820,788.8037663859515,1.974457991309464,6605.695958947763,44.3555900621118
1784853982,50,,Aggregated,53.500000,0.000000,810,890,920,940,1000,2700,4800,5100,6600,6600,6600,709,0,810,759.1091999475423,1.970082987099886,6605.695958947763,44.362482369534554
1784853983,50,,Aggregated,56.600000,0.000000,810,880,920,940,1000,2500,4700,5100,6600,6600,6600,764,0,810,743.6113307910487,1.970082987099886,6605.695958947763,44.361256544502616
1784853984,50,,Aggregated,57.500000,0.000000,810,890,920,940,1000,1100,4700,5100,6600,6600,6600,823,0,810,730.1040869970033,1.970082987099886,6605.695958947763,44.36573511543135
1784853985,50,,Aggregated,58.300000,0.000000,810,890,930,950,1000,1300,4600,5100,6600,6600,6600,862,0,810,731.5395229791557,1.970082987099886,6605.695958947763,44.364269141531324
1784853986,50,,Aggregated,58.500000,0.000000,820,900,940,970,1100,1300,4600,5000,6600,6600,6600,917,0,820,733.736378648811,1.970082987099886,6605.695958947763,44.36314067611777
1784853987,50,,Aggregated,58.200000,0.000000,820,910,950,970,1100,1200,4400,5000,6600,6600,6600,970,0,820,726.6760882436653,1.970082987099886,6605.695958947763,44.363917525773196
1784853988,50,,Aggregated,57.700000,0.000000,830,920,950,980,1100,1200,4300,5000,6600,6600,6600,1020,0,830,726.0188853053157,1.970082987099886,6605.695958947763,44.36078431372549
1784853989,50,,Aggregated,58.000000,0.000000,830,920,960,990,1100,1200,4200,5000,6600,6600,6600,1063,0,830,727.0989437609024,1.970082987099886,6605.695958947763,44.35747883349012
1784853990,50,,Aggregated,57.100000,0.000000,840,930,970,1000,1100,1300,4100,4900,6600,6600,6600,1107,0,840,730.1301980650267,1.970082987099886,6605.695958947763,44.35682023486901
